,1 confirmed per every,1 died per every,"Affected population, %",Confirmed per 1000,"Daily growth, %",Died per 1000,Merged_Case_Fatality_Ratio,Merged_Incident_Rate,aged_65_older,aged_70_older,broughDead,cardiovasc_death_rate,deathDay,diabetes_prevalence,extreme_poverty,female_smokers,fullyVaccinated,gdp_per_capita,handwashing_facilities,hospital_beds_per_thousand,human_development_index,imputed_active_cases,imputed_mortality_rate,imputed_total_cases,imputed_total_deaths,imputed_total_recoveries,life_expectancy,male_smokers,median_age,newCases,new_cases_smoothed,new_cases_smoothed_per_million,new_deaths_smoothed,new_deaths_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,new_vaccinations_smoothed,new_vaccinations_smoothed_per_million,partiallyVaccinated,population,population_density,positive_rate,recoveryRate,reproduction_rate,stringency_index,test24hours,testsPositivity,tests_per_case,totalTests,totalVaccinations,total_cases_per_million,total_deaths,total_deaths_per_million,total_tests_per_thousand,vaccinated24hours,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q
2020-01-05,457974.0,17861000.0,0.0002183528357874,0.0021835283578746,8.333333,5.598790661217177e-05,0.6622516556291391,5.749578599948782,2.48,1.542,0.0,234.499,0.0,3.94,57.5,3.1,0.0,3689.251,13.938,2.0,0.584,2.0,0.0,2.0,0.0,0.0,63.89,24.7,17.7,0.0,0.0,0.0,0.0,0.0,106.0,0.001,0.001,23.0,0.001,106.0,5.0,0.0,20017670.0,22.995,0.087,0.0,0.7110107934579244,0.0,28.0,0.0,11.5,0.0,0.0,0.1,3.0,0.15,0.002,0.0,77.26607268608414,83.41834394822007,254.83212925566343,238.94622666666666,490.0501454368932,562.0068895145631,95.18430135922331,107.70515313915858,87.73435430420712
2020-01-06,457974.0,17861000.0,0.0002183528357874,0.0021835283578746,8.333333,5.598790661217177e-05,0.6622516556291391,5.749578599948782,2.48,1.542,0.0,234.499,0.0,3.94,57.5,3.1,0.0,3689.251,13.938,2.0,0.584,2.0,0.0,2.0,0.0,0.0,63.89,24.7,17.7,0.0,0.0,0.0,0.0,0.0,106.0,0.001,0.001,23.0,0.001,106.0,5.0,0.0,20017670.0,22.995,0.087,0.0,0.7110107934579244,0.0,28.0,0.0,11.5,0.0,0.0,0.1,3.0,0.15,0.002,0.0,77.26607268608414,83.41834394822007,254.83212925566343,238.94622666666666,490.0501454368932,562.0068895145631,95.18430135922331,107.70515313915858,87.73435430420712
2020-01-07,457974.0,17861000.0,0.0002183528357874,0.0021835283578746,8.333333,5.598790661217177e-05,0.6622516556291391,5.749578599948782,2.48,1.542,0.0,234.499,0.0,3.94,57.5,3.1,0.0,3689.251,13.938,2.0,0.584,2.0,0.0,2.0,0.0,0.0,63.89,24.7,17.7,0.0,0.0,0.0,0.0,0.0,106.0,0.001,0.001,23.0,0.001,106.0,5.0,0.0,20017670.0,22.995,0.087,0.0,0.7110107934579244,0.0,28.0,0.0,11.5,0.0,0.0,0.1,3.0,0.15,0.002,0.0,77.26607268608414,83.41834394822007,254.83212925566343,238.94622666666666,490.0501454368932,562.0068895145631,95.18430135922331,107.70515313915858,87.73435430420712
2020-01-08,457974.0,17861000.0,0.0002183528357874,0.0021835283578746,8.333333,5.598790661217177e-05,0.6622516556291391,5.749578599948782,2.48,1.542,0.0,234.499,0.0,3.94,57.5,3.1,0.0,3689.251,13.938,2.0,0.584,2.0,0.0,2.0,0.0,0.0,63.89,24.7,17.7,0.0,0.0,0.0,0.0,0.0,106.0,0.001,0.001,23.0,0.001,106.0,5.0,0.0,20017670.0,22.995,0.087,0.0,0.7110107934579244,0.0,28.0,0.0,11.5,0.0,0.0,0.1,3.0,0.15,0.002,0.0,77.26607268608414,83.41834394822007,254.83212925566343,238.94622666666666,490.0501454368932,562.0068895145631,95.18430135922331,107.70515313915858,87.73435430420712
2020-01-09,457974.0,17861000.0,0.0002183528357874,0.0021835283578746,8.333333,5.598790661217177e-05,0.6622516556291391,5.749578599948782,2.48,1.542,0.0,234.499,0.0,3.94,57.5,3.1,0.0,3689.251,13.938,2.0,0.584,2.0,0.0,2.0,0.0,0.0,63.89,24.7,17.7,0.0,0.0,0.0,0.0,0.0,106.0,0.001,0.001,23.0,0.001,106.0,5.0,0.0,20017670.0,22.995,0.087,0.0,0.7110107934579244,0.0,28.0,0.0,11.5,0.0,0.0,0.1,3.0,0.15,0.002,0.0,77.26607268608414,83.41834394822007,254.83212925566343,238.94622666666666,490.0501454368932,562.0068895145631,95.18430135922331,107.70515313915858,87.73435430420712
2020-01-10,457974.0,17861000.0,0.0002183528357874,0.0021835283578746,8.333333,5.598790661217177e-05,0.6622516556291391,5.749578599948782,2.48,1.542,0.0,234.499,0.0,3.94,57.5,3.1,0.0,3689.251,13.938,2.0,0.584,2.0,0.0,2.0,0.0,0.0,63.89,24.7,17.7,0.0,0.0,0.0,0.0,0.0,106.0,0.001,0.001,23.0,0.001,106.0,5.0,0.0,20017670.0,22.995,0.087,0.0,0.7110107934579244,0.0,28.0,0.0,11.5,0.0,0.0,0.1,3.0,0.15,0.002,0.0,77.26607268608414,83.41834394822007,254.83212925566343,238.94622666666666,490.0501454368932,562.0068895145631,95.18430135922331,107.70515313915858,87.73435430420712
2020-01-11,457974.0,17861000.0,0.0002183528357874,0.0021835283578746,8.333333,5.598790661217177e-05,0.6622516556291391,5.749578599948782,2.48,1.542,0.0,234.499,0.0,3.94,57.5,3.1,0.0,3689.251,13.938,2.0,0.584,2.0,0.0,2.0,0.0,0.0,63.89,24.7,17.7,0.0,0.0,0.0,0.0,0.0,106.0,0.001,0.001,23.0,0.001,106.0,5.0,0.0,20017670.0,22.995,0.087,0.0,0.7110107934579244,0.0,28.0,0.0,11.5,0.0,0.0,0.1,3.0,0.15,0.002,0.0,77.26607268608414,83.41834394822007,254.83212925566343,238.94622666666666,490.0501454368932,562.0068895145631,95.18430135922331,107.70515313915858,87.73435430420712
2020-01-12,457974.0,17861000.0,0.0002183528357874,0.0021835283578746,8.333333,5.598790661217177e-05,0.6622516556291391,5.749578599948782,2.48,1.542,0.0,234.499,0.0,3.94,57.5,3.1,0.0,3689.251,13.938,2.0,0.584,2.0,0.0,2.0,0.0,0.0,63.89,24.7,17.7,0.0,0.0,0.0,0.0,0.0,106.0,0.001,0.001,23.0,0.001,106.0,5.0,0.0,20017670.0,22.995,0.087,0.0,0.7110107934579244,0.0,28.0,0.0,11.5,0.0,0.0,0.1,3.0,0.15,0.002,0.0,77.26607268608414,83.41834394822007,254.83212925566343,238.94622666666666,490.0501454368932,562.0068895145631,95.18430135922331,107.70515313915858,87.73435430420712
2020-01-13,457974.0,17861000.0,0.0002183528357874,0.0021835283578746,8.333333,5.598790661217177e-05,0.6622516556291391,5.749578599948782,2.48,1.542,0.0,234.499,0.0,3.94,57.5,3.1,0.0,3689.251,13.938,2.0,0.584,2.0,0.0,2.0,0.0,0.0,63.89,24.7,17.7,0.0,0.0,0.0,0.0,0.0,106.0,0.001,0.001,23.0,0.001,106.0,5.0,0.0,20017670.0,22.995,0.087,0.0,0.7110107934579244,0.0,28.0,0.0,11.5,0.0,0.0,0.1,3.0,0.15,0.002,0.0,77.26607268608414,83.41834394822007,254.83212925566343,238.94622666666666,490.0501454368932,562.0068895145631,95.18430135922331,107.70515313915858,87.73435430420712
2020-01-14,457974.0,17861000.0,0.0002183528357874,0.0021835283578746,8.333333,5.598790661217177e-05,0.6622516556291391,5.749578599948782,2.48,1.542,0.0,234.499,0.0,3.94,57.5,3.1,0.0,3689.251,13.938,2.0,0.584,2.0,0.0,2.0,0.0,0.0,63.89,24.7,17.7,0.0,0.0,0.0,0.0,0.0,106.0,0.001,0.001,23.0,0.001,106.0,5.0,0.0,20017670.0,22.995,0.087,0.0,0.7110107934579244,0.0,28.0,0.0,11.5,0.0,0.0,0.1,3.0,0.15,0.002,0.0,77.26607268608414,83.41834394822007,254.83212925566343,238.94622666666666,490.0501454368932,562.0068895145631,95.18430135922331,107.70515313915858,87.73435430420712
